Datetime,StockPrice,OptionPrice,XSigma,Delta,TimeDecayOneDay
27Aug2018110616,7.2,2.9,,9.174836401726337e-08,
27Aug2018112248,7.19,2.9,,8.135347367987933e-08,
27Aug2018112633,7.2,2.9,,9.174836401726337e-08,
27Aug2018112657,7.2,2.9,,9.174836401726337e-08,
27Aug2018115205,7.2,2.92,,9.174836401726337e-08,
27Aug2018115248,7.2,2.92,,9.174836401726337e-08,
27Aug2018115308,7.2,2.92,,9.174836401726337e-08,
27Aug2018115328,7.2,2.92,,9.174836401726337e-08,
27Aug2018115819,7.2,2.92,,9.174836401726337e-08,
27Aug2018120835,7.2,2.92,,9.174836401726337e-08,
27Aug2018122022,7.2,2.92,,9.174836401726337e-08,
27Aug2018123123,7.2,2.92,,9.174836401726337e-08,
27Aug2018124334,7.19,2.92,,8.135347367987933e-08,
27Aug2018125543,7.19,2.92,,8.135347367987933e-08,
28Aug2018093610,7.11,3.0,,1.6006250269651193e-08,
28Aug2018095843,7.13,3.0,,2.077022009938645e-08,
28Aug2018102054,7.12,3.0,,1.8239637078476534e-08,
28Aug2018104351,7.12,3.0,,1.8239637078476534e-08,
28Aug2018110624,7.12,3.0,,1.8239637078476534e-08,
28Aug2018112749,7.13,3.0,,2.077022009938645e-08,
28Aug2018115032,7.14,3.0,,2.3635539581068343e-08,
28Aug2018121209,7.15,2.94,,2.6877610692643827e-08,
28Aug2018123420,7.14,2.94,,2.3635539581068343e-08,
29Aug2018111555,7.29,2.79,,8.312404581323207e-08,
