Datetime,StockPrice,OptionPrice,XSigma,Delta,TimeDecayOneDay
27Aug2018110616,7.2,1.89,,0.0002084984576857796,
27Aug2018112248,7.19,1.89,,0.00019164454932274485,
27Aug2018112633,7.2,1.9,,0.0002084984576857796,
27Aug2018112657,7.2,1.9,,0.0002084984576857796,
27Aug2018115205,7.2,1.92,,0.0002084984576857796,
27Aug2018115248,7.2,1.92,,0.0002084984576857796,
27Aug2018115308,7.2,1.92,,0.0002084984576857796,
27Aug2018115328,7.2,1.92,,0.0002084984576857796,
27Aug2018115819,7.2,1.92,,0.0002084984576857796,
27Aug2018120835,7.2,1.92,,0.0002084984576857796,
27Aug2018122022,7.2,1.92,,0.0002084984576857796,
27Aug2018123123,7.2,1.89,,0.0002084984576857796,
27Aug2018125543,7.19,1.92,,0.00019164454932274485,
28Aug2018091522,7.11,1.99,,6.97510228736542e-05,
28Aug2018093610,7.11,1.97,,6.97510228736542e-05,
28Aug2018095843,7.13,1.97,,8.388784606561117e-05,
28Aug2018102054,7.12,1.97,,7.651761878868513e-05,
28Aug2018104351,7.12,1.97,,7.651761878868513e-05,
28Aug2018110624,7.12,1.97,,7.651761878868513e-05,
28Aug2018112749,7.13,1.97,,8.388784606561117e-05,
28Aug2018115032,7.14,1.93,,9.191037685574166e-05,
28Aug2018121209,7.15,1.88,,0.00010063733478365977,
28Aug2018123420,7.14,1.94,,9.191037685574166e-05,
28Aug2018125624,7.16,1.86,,0.000110124499651032,
29Aug2018111555,7.29,1.79,,0.00025488697907499747,
