Datetime,StockPrice,OptionPrice,XSigma,Delta,TimeDecayOneDay
27Aug2018122022,7.2,1.22,1.86416569321462,0.9984626005144676,0.0017910427758793812
27Aug2018123123,7.2,1.22,1.86416569321462,0.9984626005144676,0.0017910427758793812
27Aug2018124334,7.19,1.22,2.0366614108960106,0.9983478649468892,0.0024209714723304465
28Aug2018091522,7.11,1.14,1.9837058005513848,0.9975536095723534,0.002477362834956143
28Aug2018093610,7.11,1.14,1.9837058005513848,0.9975536095723534,0.002477362834956143
28Aug2018095843,7.13,1.14,1.5826608677119405,0.9978810782190419,0.00107797339129867
28Aug2018102054,7.12,1.14,1.8134588471129351,0.9977227849698748,0.0018351161310583566
28Aug2018104351,7.12,1.14,1.8134588471129351,0.9977227849698748,0.0018351161310583566
28Aug2018110624,7.12,1.14,1.8134588471129351,0.9977227849698748,0.0018351161310583566
28Aug2018112749,7.13,1.14,1.5826608677119405,0.9978810782190419,0.00107797339129867
28Aug2018115032,7.14,1.17,2.0195743213977466,0.9980291253464604,0.002493984720357556
28Aug2018121209,7.15,1.16,1.6030043907861549,0.9981675300421559,0.001081684309236719
28Aug2018123420,7.14,1.16,1.8359373381250221,0.9980291253464604,0.001842670177397032
28Aug2018125624,7.16,1.17,1.6131335645410716,0.998296864948488,0.0010835096195116467
29Aug2018111555,7.29,1.31,2.0435720690952586,0.9994989546803794,0.0019761230137727015
