Datetime,StockPrice,OptionPrice,XSigma,Delta,TimeDecayOneDay
27Aug2018110616,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018112248,7.19,0.08,0.8858058271558298,0.6811149268216392,0.0028163724310451416
27Aug2018112633,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018112657,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018115205,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018115248,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018115308,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018115328,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018115819,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018120835,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018122022,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018123123,7.2,0.08,0.9050628194389736,0.6890158365065977,0.002858940211307823
27Aug2018124333,7.19,0.08,0.8858058271558298,0.6811149268216392,0.0028163724310451416
27Aug2018125543,7.19,0.08,0.8858058271558298,0.6811149268216392,0.0028163724310451416
28Aug2018091522,7.11,0.13,1.0398880423415149,0.6163999401346641,0.003665395881351564
28Aug2018093610,7.11,0.13,1.0398880423415149,0.6163999401346641,0.003665395881351564
28Aug2018095843,7.13,0.13,1.0860574253709836,0.6337954346859265,0.003800564368237086
28Aug2018102054,7.12,0.13,1.063122040870783,0.6251356191989739,0.003733937250208125
28Aug2018104351,7.12,0.13,1.063122040870783,0.6251356191989739,0.003733937250208125
28Aug2018110624,7.12,0.13,1.063122040870783,0.6251356191989739,0.003733937250208125
28Aug2018112749,7.13,0.11,0.9652725341763178,0.6337954346859265,0.003344769362079461
28Aug2018115032,7.14,0.11,0.9874328112293516,0.6423756429858357,0.003405701103292497
28Aug2018121209,7.15,0.11,1.0093162396664048,0.650872634630512,0.003464897971678996
28Aug2018123420,7.14,0.11,0.9874328112293516,0.6423756429858357,0.003405701103292497
28Aug2018125624,7.16,0.10999999999999999,1.0309372056508168,0.6592829379081943,0.0035224652142582247
