Datetime,StockPrice,OptionPrice,XSigma,Delta,TimeDecayOneDay
27Aug2018110616,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018112248,7.19,0.23,0.6179761255254295,0.6811149268216392,0.0017374296579047988
27Aug2018112633,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018112657,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018115205,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018115248,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018115308,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018115328,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018115819,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018120835,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018122022,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018123123,7.2,0.23,0.5602160387929134,0.6890158365065977,0.0014492187270385981
27Aug2018124334,7.19,0.23,0.6179761255254295,0.6811149268216392,0.0017374296579047988
27Aug2018125543,7.19,0.23,0.6179761255254295,0.6811149268216392,0.0017374296579047988
28Aug2018091522,7.11,0.16,0.5490774973979881,0.6163999401346641,0.0017927814964716624
28Aug2018093610,7.11,0.18,0.6752274389110461,0.6163999401346641,0.0022868991698915264
28Aug2018095843,7.13,0.18,0.5889900794192011,0.6337954346859265,0.0018820844725937762
28Aug2018102054,7.12,0.18,0.6334546854426429,0.6251356191989739,0.0020936613876888213
28Aug2018104351,7.12,0.18,0.6334546854426429,0.6251356191989739,0.0020936613876888213
28Aug2018110624,7.12,0.16,0.5031688302427046,0.6251356191989739,0.001571567742759461
28Aug2018112749,7.13,0.16,0.4524201004069006,0.6337954346859265,0.0013196442059107973
28Aug2018115032,7.14,0.16,0.3939016987347367,0.6423756429858357,0.0010222537356906203
28Aug2018121209,7.15,0.18,0.4876858027962363,0.650872634630512,0.0013798689616320858
28Aug2018123420,7.14,0.18,0.5409222585919364,0.6423756429858357,0.0016469283729991788
28Aug2018125624,7.16,0.18,0.4261397426822393,0.6592829379081943,0.0010657035828833816
